time, ax, ay, az, gx, gy, gz, mx, my, mz
   488958456,   -0.00879,    -0.02100,    +1.03271,   -0.01277,    -0.01171,    -0.00213,  -36.75410,   -59.56699,   -32.65195
   488969379,   -0.01562,    -0.01660,    +1.03027,   -0.01383,    -0.01383,    -0.01277,  -36.75410,   -59.56699,   -32.65195
   488980314,   -0.02197,    -0.00977,    +1.02490,   -0.01809,    -0.00639,    -0.00851,  -36.75410,   -59.56699,   -32.65195
   488991234,   -0.01514,    -0.01416,    +1.03027,   -0.01383,    -0.01277,    -0.01490,  -36.75410,   -59.56699,   -32.65195
   489002177,   -0.01807,    -0.01855,    +1.02783,   -0.02022,    -0.00851,    -0.00851,  -36.75410,   -59.56699,   -32.65195
   489013131,   -0.00684,    -0.01562,    +1.02686,   -0.01064,    -0.00958,    -0.01064,  -36.75410,   -59.56699,   -32.65195
   489024100,   -0.02002,    -0.01758,    +1.02734,   -0.01596,    -0.01064,    -0.01277,  -36.75410,   -59.56699,   -32.65195
   489035044,   -0.02295,    -0.02246,    +1.03076,   -0.01596,    -0.01383,    -0.00745,  -37.47832,   -59.92910,   -33.69961
   489045991,   -0.01514,    -0.01270,    +1.03760,   -0.01596,    -0.00958,    -0.01596,  -37.47832,   -59.92910,   -33.69961
   489056962,   -0.01123,    -0.00342,    +1.02539,   -0.00958,    -0.01064,    -0.01490,  -37.47832,   -59.92910,   -33.69961
   489067888,   -0.01367,    -0.00879,    +1.02881,   -0.01171,    -0.00851,    -0.01809,  -37.47832,   -59.92910,   -33.69961
   489078884,   -0.01318,    -0.00928,    +1.03076,   -0.01064,    -0.01171,    -0.01490,  -37.47832,   -59.92910,   -33.69961
   489089845,   -0.01709,    -0.01611,    +1.02295,   -0.01383,    -0.01277,    -0.01064,  -37.47832,   -59.92910,   -33.69961
   489100752,   -0.00928,    -0.01709,    +1.03076,   -0.01490,    -0.01171,    -0.00745,  -37.47832,   -59.92910,   -33.69961
   489111681,   -0.01807,    -0.01807,    +1.02734,   -0.01490,    -0.01064,    -0.01277,  -37.47832,   -59.92910,   -33.69961
   489122587,   -0.01221,    -0.01855,    +1.02148,   -0.01596,    -0.00958,    -0.01064,  -37.47832,   -59.92910,   -33.69961
   489133491,   -0.01465,    -0.01465,    +1.04053,   -0.01490,    -0.01064,    -0.00851,  -37.47832,   -59.92910,   -33.69961
   489144463,   -0.01660,    -0.00928,    +1.02051,   -0.01171,    -0.01171,    -0.00532,  -37.47832,   -59.92910,   -33.69961
   489155385,   -0.01074,    -0.01074,    +1.02148,   -0.01809,    -0.00851,    -0.01064,  -37.47832,   -59.92910,   -33.69961
   489166317,   -0.00635,    -0.01074,    +1.02490,   -0.01490,    -0.01171,    -0.01064,  -37.47832,   -59.92910,   -33.69961
   489177279,   -0.02051,    -0.01318,    +1.02832,   -0.01277,    -0.01277,    -0.00958,  -37.47832,   -59.92910,   -33.69961
   489188242,   -0.01611,    -0.01318,    +1.02686,   -0.01596,    -0.00851,    -0.00958,  -37.47832,   -59.92910,   -33.69961
   489199167,   -0.00977,    -0.00439,    +1.02393,   -0.01490,    -0.00958,    -0.00851,  -37.47832,   -59.92910,   -33.69961
   489210151,   -0.02686,    -0.00586,    +1.01562,   -0.01277,    -0.01277,    -0.01171,  -37.47832,   -59.92910,   -33.69961
   489221057,   -0.01758,    -0.01025,    +1.03271,   -0.01171,    -0.00851,    -0.01064,  -37.47832,   -59.92910,   -33.69961
   489231988,   -0.01514,    -0.00977,    +1.02393,   -0.01596,    -0.00745,    -0.00851,  -37.47832,   -59.92910,   -33.69961
   489242908,   -0.01562,    -0.01123,    +1.00879,   -0.01596,    -0.00639,    -0.01596,  -37.47832,   -59.92910,   -33.69961
   489253828,   -0.00977,    -0.01758,    +1.03027,   -0.01277,    -0.01277,    -0.01171,  -37.47832,   -59.92910,   -33.69961
